dataset_column,source_column,unit,column_group,recommended_role,description
slurry_flow_Fslurry_lb_min,Fslurry,lb/min,product_output,target_flow_candidate,Slurry flowrate
reflux_flow_Freflux_lb_min,Freflux,lb/min,recycle_control,feature_recycle,Reflux flowrate
fractionator_overhead_temperature_Tfra_degF,Tfra,degF,state,feature,Overhead fractionator temperature
fractionator_mid_temperature_T10_degF,T10,degF,state,feature,Mid-stage fractionator temperature
fractionator_bottom_temperature_T20_degF,T20,degF,state,feature,Bottom-stage fractionator temperature
valve_fractionator_pressure_V4_pct,V4,percent,control,feature,Fractionator pressure controller valve opening
valve_regenerator_temperature_V6_pct,V6,percent,control,feature,Regenerator temperature controller valve opening
valve_regenerator_pressure_V7_pct,V7,percent,control,feature,Regenerator pressure controller valve opening
valve_reactor_inventory_V3_pct,V3,percent,control,feature,Reactor inventory controller valve opening
valve_preheated_feed_temperature_V1_pct,V1,percent,control,feature,Preheated feed temperature controller valve opening
valve_reactor_temperature_V2_pct,V2,percent,control,feature,Reactor temperature controller valve opening
valve_accumulator_level_V9_pct,V9,percent,control,feature,Accumulator level controller valve opening
valve_fractionator_temperature_V8_pct,V8,percent,control,feature,Fractionator temperature controller valve opening
valve_heavy_naphtha_temperature_V10_pct,V10,percent,control,feature,Heavy naphtha temperature controller valve opening
valve_light_naphtha_temperature_V11_pct,V11,percent,control,feature,Light naphtha temperature controller valve opening
